Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\shepherd_v2\Project Outputs for shepherd_v2\Pick Place\Pick Place for shepherd_pcb_v2.1r0.csv

========================================================================================================================
File Design Information:

Date:       23.03.21
Time:       20:57
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","Distributer","Distributer PN","Price n10 [€]","Value"
"U29","NLAS4684","TopLayer","PSON50P300X100_HS-11N","DFN-10, Body 3,00x3,00mm, Pitch 0,50mm, Thermal Pad 2,50x1,62mm","74,3000","18,2000","360","Analog Switch, Dual SPDT, 500 mOhm Rds, 300 mA continuous, 500 mA peak, <10 nA Leakage (1 nA for -55 to 25°C)","Mouser","863-NLAS4684MNR2G","0.63",""
"U28","NLAS4684","TopLayer","PSON50P300X100_HS-11N","DFN-10, Body 3,00x3,00mm, Pitch 0,50mm, Thermal Pad 2,50x1,62mm","74,3000","21,9000","360","Analog Switch, Dual SPDT, 500 mOhm Rds, 300 mA continuous, 500 mA peak, <10 nA Leakage (1 nA for -55 to 25°C)","Mouser","863-NLAS4684MNR2G","0.63",""
"U27","NLAS4684","TopLayer","PSON50P300X100_HS-11N","DFN-10, Body 3,00x3,00mm, Pitch 0,50mm, Thermal Pad 2,50x1,62mm","74,3000","10,7000","360","Analog Switch, Dual SPDT, 500 mOhm Rds, 300 mA continuous, 500 mA peak, <10 nA Leakage (1 nA for -55 to 25°C)","Mouser","863-NLAS4684MNR2G","0.63",""
"U26","NLAS4684","TopLayer","PSON50P300X100_HS-11N","DFN-10, Body 3,00x3,00mm, Pitch 0,50mm, Thermal Pad 2,50x1,62mm","74,3000","25,7000","360","Analog Switch, Dual SPDT, 500 mOhm Rds, 300 mA continuous, 500 mA peak, <10 nA Leakage (1 nA for -55 to 25°C)","Mouser","863-NLAS4684MNR2G","0.63",""
"U25","NLAS4684","TopLayer","PSON50P300X100_HS-11N","DFN-10, Body 3,00x3,00mm, Pitch 0,50mm, Thermal Pad 2,50x1,62mm","70,7000","40,6000","360","Analog Switch, Dual SPDT, 500 mOhm Rds, 300 mA continuous, 500 mA peak, <10 nA Leakage (1 nA for -55 to 25°C)","Mouser","863-NLAS4684MNR2G","0.63",""
"U24","NLAS4684","TopLayer","PSON50P300X100_HS-11N","DFN-10, Body 3,00x3,00mm, Pitch 0,50mm, Thermal Pad 2,50x1,62mm","74,3000","14,5000","360","Analog Switch, Dual SPDT, 500 mOhm Rds, 300 mA continuous, 500 mA peak, <10 nA Leakage (1 nA for -55 to 25°C)","Mouser","863-NLAS4684MNR2G","0.63",""
"U23","NLAS4684","TopLayer","PSON50P300X100_HS-11N","DFN-10, Body 3,00x3,00mm, Pitch 0,50mm, Thermal Pad 2,50x1,62mm","70,7000","33,0000","360","Analog Switch, Dual SPDT, 500 mOhm Rds, 300 mA continuous, 500 mA peak, <10 nA Leakage (1 nA for -55 to 25°C)","Mouser","863-NLAS4684MNR2G","0.63",""
"U22","LT3487","TopLayer","PSON50P300X100_HS-11N","DFN-10, Body 3,00x3,00mm, Pitch 0,50mm, Thermal Pad 2,50x1,62mm","35,1000","14,2000","360","Voltage Regulator, Switching, Boost and Inverting, 2MHz
R1=(Vp-1.23V)/25uA
R2=-Vn/25uA","Mouser","584-LT3487EDD#TRPBF","2.72",""
"U21","LP2989-3.3","TopLayer","TSOP65P490X110-8N","VSSOP-N8, Body 3,00x3,00mm, Pitch 0,65mm","39,6000","21,3000","0","VoltageRegulator, UltraLowNoise LDO, 500mA, 60 dB RippleRejection, 18 uV RMS Noise,","Mouser","926-LP2989IMM3.3NOPB","2.27",""
"U20","MP3221","TopLayer","SOT95P280X100-6N","TSOT23-6, Body 2,90x2,80mm, Pitch 0,95mm","52,8000","11,7000","360","VoltageRegulator, 1.2 MHz Boost with integrated 88 mOhm Mosfet, 270 uA quiescent, 3-6V Output","Mouser","946-MP3221GJ-Z","1.33",""
