Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\shepherd_v2\Project Outputs for shepherd_v2\Pick Place\Pick Place for shepherd_pcb_v2.4.csv

========================================================================================================================
File Design Information:

Date:       23.09.22
Time:       12:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer PN","Value"
"U41","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","77,2000","8,0001","0","PI5A4158ZAEX",""
"U40","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","75,3000","18,6001","0","PI5A4158ZAEX",""
"U39","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","72,6000","8,4001","0","PI5A4158ZAEX",""
"U38","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","75,3000","23,4001","0","PI5A4158ZAEX",""
"U37","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","67,8000","9,0001","0","PI5A4158ZAEX",""
"U36","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","75,3000","28,1001","0","PI5A4158ZAEX",""
"U35","Ud_NLAS4684-FC","TopLayer","BGA12C50P4X3_196X146X65","68,7000","38,7000","180","NLAS4684FCT1G",""
"U34","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","75,3000","13,5001","0","PI5A4158ZAEX",""
"U33","Ud_NLAS4684-FC","TopLayer","BGA12C50P4X3_196X146X65","72,7000","38,7000","180","NLAS4684FCT1G",""
"U32","Ua_OPA189-DBV","TopLayer","SOT95P280X145-5N","57,0000","36,6000","270","OPA189IDBVR",""
"U31","Ud_74HC4066-BQ","TopLayer","PQFN50P250X300X100_HS-15N","68,7000","43,9000","0","74HC4066BQ,115",""
"U30","Ud_74HC4066-BQ","TopLayer","PQFN50P250X300X100_HS-15N","73,6500","44,8000","0","74HC4066BQ,115",""
"U29","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","61,1000","8,6001","0","74LVC2T45GT,115",""
"U28","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","61,1000","17,0001","0","74LVC2T45GT,115",""
"U27","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","61,1000","19,4001","0","74LVC2T45GT,115",""
"U26","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","61,1000","11,5001","0","74LVC2T45GT,115",""
"U25","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","70,3000","13,5001","0","74LVC2T45GT,115",""
"U24","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","61,1000","14,6001","0","74LVC2T45GT,115",""
"U23","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","70,3000","18,5501","0","74LVC2T45GT,115",""
"U22","LT3487","TopLayer","PSON50P300X100_HS-11N","35,1000","14,2000","0","LT3487EDD#TRPBF",""
"U21","LP2989-3.3","TopLayer","TSOP65P490X110-8N","39,6000","21,3000","0","LP2989IMM-3.3/NOPB",""
"U20","MP3221","TopLayer","SOT95P280X100-6N","51,8000","11,3000","0","MP3221GJ-Z",""
"U19","LP2989-5.0","TopLayer","TSOP65P490X110-8N","49,9000","20,1000","0","LP2989AIMM-5.0/NOPB",""
"U18","TPL5010","TopLayer","SOT95P280X100-6N","24,0000","22,3000","270","TPL5010DDCR",""
"U17","Ud_CAT24C256-HU","TopLayer","PSON50P300X55_HS-9N","31,1000","22,8000","0","CAT24C256HU4IGT3",""
"U16","Ua_OPA388-DBV","TopLayer","SOT95P280X145-5N","57,7000","22,8000","270","OPA388IDBVR",""
"U15","HCT2G04","TopLayer","SOT65P210X110-6N","83,5027","27,7955","180","74HC2G04GW,125",""
"U14","TC7WH08FK","TopLayer","TSSOP50P310X80-8N","77,6500","44,9000","270","TC7WH08FK,LJ(CT",""
"U13","Ud_NLAS4684-FC","TopLayer","BGA12C50P4X3_196X146X65","68,7000","35,1000","180","NLAS4684FCT1G",""
"U12","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","70,3000","23,3001","0","74LVC2T45GT,115",""
"U11","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","70,3000","27,9499","0","74LVC2T45GT,115",""
"U10","Ua_OPA189-DBV","TopLayer","SOT95P280X145-5N","31,4000","35,8000","180","OPA189IDBVR",""
"U9","ADS8691","TopLayer","TSOP65P640X120-16N","39,1000","30,6000","0","ADS8691IPWR",""
"U8","Ua_DAC8562-DSC","TopLayer","PSON50P300X80_HS-11N","39,4000","35,3000","0","DAC8562SDSCR",""
"U7","AD8421B","TopLayer","TSOP65P490X110-8N","29,9000","30,3000","90","AD8421BRMZ",""
"U6","ADS8691","TopLayer","TSOP65P640X120-16N","39,9000","41,0000","0","ADS8691IPWR",""
"U5","OPA2388","TopLayer","TSOP65P490X110-8N","30,1000","40,2000","180","OPA2388IDGKR",""
"U4","ADS8691","TopLayer","TSOP65P640X120-16N","52,1000","29,4000","180","ADS8691IPWR",""
"U3","AD8421B","TopLayer","TSOP65P490X110-8N","62,0000","34,0000","270","AD8421BRMZ",""
"U2","Ua_DAC8562-DSC","TopLayer","PSON50P300X80_HS-11N","48,5000","39,7000","270","DAC8562SDSCR",""
"U1","OPA2388","TopLayer","TSOP65P490X110-8N","54,2000","42,3000","180","OPA2388IDGKR",""
"T2","T_BSH105","TopLayer","SOT95P230X110-3N","20,2000","17,4000","270","BSH105,215",""
"T1","T_BSH105","TopLayer","SOT95P230X110-3N","23,6000","18,5000","270","BSH105,215",""
"R132","R_0402_0R_1%","TopLayer","RESC1005X04-SEL","24,1000","27,3000","180","AC0402FR-070RL","0R"
"R131","R_0402_0R_1%","TopLayer","RESC1005X04-SEL","58,9000","32,8000","180","AC0402FR-070RL","0R"
"R130","R_0402_210R_0.1%","TopLayer","RESC1005X04","58,7000","42,9000","270","RT0402BRD07210RL","210R"
"R129","R_0402_2R","TopLayer","RESC1005X04","61,5000","42,4000","0","ERJ-2GEJ2R0X","2R"
"R128","R_0402_100k_1%","TopLayer","RESC1005X04","59,7000","42,9000","90","ERJ-2RKF1003X","100k"
"R127","R_0402_1k","TopLayer","RESC1005X04","64,7000","47,3000","270","ERJ-2GEJ102X","1k"
"R126","R_0402_1k","TopLayer","RESC1005X04","63,5000","47,3000","90","ERJ-2GEJ102X","1k"
"R125","R_0402_1k","TopLayer","RESC1005X04","62,5000","47,3000","270","ERJ-2GEJ102X","1k"
"R124","R_0402_1k","TopLayer","RESC1005X04","61,5000","47,3000","90","ERJ-2GEJ102X","1k"
"R123","R_0402_470R","TopLayer","RESC1005X04","63,2000","16,5000","0","ERJ-2RKF4700X","470R"
"R122","R_0402_470R","TopLayer","RESC1005X04","62,7000","11,8000","90","ERJ-2RKF4700X","470R"
"R121","R_0402_470R","TopLayer","RESC1005X04","63,2000","14,3000","0","ERJ-2RKF4700X","470R"
"R120","R_0402_470R","TopLayer","RESC1005X04","71,9000","12,7000","270","ERJ-2RKF4700X","470R"
"R119","R_0402_470R","TopLayer","RESC1005X04","63,2000","19,0000","0","ERJ-2RKF4700X","470R"
"R118","R_0402_470R","TopLayer","RESC1005X04","71,9000","19,8000","90","ERJ-2RKF4700X","470R"
"R117","R_0402_470R","TopLayer","RESC1005X04","71,9000","22,6000","270","ERJ-2RKF4700X","470R"
"R116","R_0402_470R","TopLayer","RESC1005X04","71,9000","24,6000","90","ERJ-2RKF4700X","470R"
"R115","R_0402_470R","TopLayer","RESC1005X04","71,9000","27,3000","270","ERJ-2RKF4700X","470R"
"R114","R_0402_470R","TopLayer","RESC1005X04","71,9000","29,3000","90","ERJ-2RKF4700X","470R"
"R113","R_0402_1k","TopLayer","RESC1005X04","81,0000","26,4000","0","ERJ-2GEJ102X","1k"
"R112","R_0402_1k","TopLayer","RESC1005X04","81,0000","27,4000","0","ERJ-2GEJ102X","1k"
"R111","R_0402_100k_1%","TopLayer","RESC1005X04","38,3000","15,8000","180","ERJ-2RKF1003X","100k"
"R110","R_0402_240k_1%","TopLayer","RESC1005X04","38,3000","14,8000","0","ERJ-2RKF2403X","240k"
"R109","R_0402_470R","TopLayer","RESC1005X04","39,8000","15,3000","270","ERJ-2RKF4700X","470R"
"R108","R_0402_240k_1%","TopLayer","RESC1005X04","39,4000","12,7000","270","ERJ-2RKF2403X","240k"
"R107","R_0402_5k1_1%","TopLayer","RESC1005X04","19,8000","14,6000","180","ERJ-2RKF5101X","5.1k"
"R106","R_0402_470R","TopLayer","RESC1005X04","31,6000","20,3000","0","ERJ-2RKF4700X","470R"
"R105","R_0402_100k_1%","TopLayer","RESC1005X04","49,3000","10,1000","90","ERJ-2RKF1003X","100k"
"R104","R_0402_680k_1%","TopLayer","RESC1005X04","49,3000","12,1000","90","ERJ-2RKF6803X","680k"
"R103","R_0402_10k","TopLayer","RESC1005X04","35,6000","47,2000","90","ERJ-2GEJ103X","10k"
"R102","R_0402_10k","TopLayer","RESC1005X04","21,8000","21,8000","270","ERJ-2GEJ103X","10k"
"R101","R_0402_100k_1%","TopLayer","RESC1005X04","21,9000","26,5000","270","ERJ-2RKF1003X","100k"
"R100","R_0402_470R","TopLayer","RESC1005X04","20,4000","11,5000","0","ERJ-2RKF4700X","470R"
"R99","R_0402_24k","TopLayer","RESC1005X04","22,4000","24,9000","180","ERJ-2GEJ243X","24k"
"R98","R_0402_100k_1%","TopLayer","RESC1005X04","25,8000","18,7000","90","ERJ-2RKF1003X","100k"
"R97","R_0402_10k","TopLayer","RESC1005X04","20,4000","12,5000","0","ERJ-2GEJ103X","10k"
"R96","R_0402_10k","TopLayer","RESC1005X04","28,1000","24,0000","0","ERJ-2GEJ103X","10k"
"R95","R_0402_10k","TopLayer","RESC1005X04","28,1000","23,0000","0","ERJ-2GEJ103X","10k"
"R94","R_0402_1k","TopLayer","RESC1005X04","51,9000","47,3000","90","ERJ-2GEJ102X","1k"
"R93","R_0402_1k","TopLayer","RESC1005X04","33,3000","47,2000","90","ERJ-2GEJ102X","1k"
"R92","R_0402_1k","TopLayer","RESC1005X04","53,0000","47,3000","90","ERJ-2GEJ102X","1k"
"R91","R_0402_1k","TopLayer","RESC1005X04","34,3000","47,2000","90","ERJ-2GEJ102X","1k"
"R90","R_0402_10k","TopLayer","RESC1005X04","28,1000","22,0000","180","ERJ-2GEJ103X","10k"
"R89","R_0402_10k","TopLayer","RESC1005X04","34,3000","23,2000","180","ERJ-2GEJ103X","10k"
"R88","R_0402_10k","TopLayer","RESC1005X04","43,2000","7,3100","90","ERJ-2GEJ103X","10k"
"R87","R_0402_10k","TopLayer","RESC1005X04","44,3000","7,3100","90","ERJ-2GEJ103X","10k"
"R86","R_0402_33R","TopLayer","RESC1005X04","59,7000","47,3000","270","ERJ-2GEJ330X","33R"
"R85","R_0402_33R","TopLayer","RESC1005X04","58,7000","47,3000","270","ERJ-2GEJ330X","33R"
"R84","R_0402_33R","TopLayer","RESC1005X04","59,5000","7,3000","90","ERJ-2GEJ330X","33R"
"R83","R_0402_1k","TopLayer","RESC1005X04","61,5000","23,2000","0","ERJ-2GEJ102X","1k"
"R82","R_0402_1k","TopLayer","RESC1005X04","58,7000","16,7000","180","ERJ-2GEJ102X","1k"
"R81","R_0402_33R","TopLayer","RESC1005X04","58,4000","7,3000","90","ERJ-2GEJ330X","33R"
"R80","R_0402_1k","TopLayer","RESC1005X04","70,2000","11,8000","180","ERJ-2GEJ102X","1k"
"R79","R_0402_1k","TopLayer","RESC1005X04","58,7000","13,3000","180","ERJ-2GEJ102X","1k"
"R78","R_0402_33R","TopLayer","RESC1005X04","67,5000","47,3000","90","ERJ-2GEJ330X","33R"
"R77","R_0402_33R","TopLayer","RESC1005X04","68,5000","47,3000","90","ERJ-2GEJ330X","33R"
"R76","R_0402_33R","TopLayer","RESC1005X04","57,3000","7,3000","90","ERJ-2GEJ330X","33R"
"R75","R_0402_33R","TopLayer","RESC1005X04","56,2000","7,3000","90","ERJ-2GEJ330X","33R"
"R74","R_0402_33R","TopLayer","RESC1005X04","55,1000","7,3000","270","ERJ-2GEJ330X","33R"
"R73","R_0402_33R","TopLayer","RESC1005X04","54,0000","7,3000","90","ERJ-2GEJ330X","33R"
"R72","R_0402_33R","TopLayer","RESC1005X04","55,4000","47,3000","270","ERJ-2GEJ330X","33R"
"R71","R_0402_33R","TopLayer","RESC1005X04","52,9000","7,3000","90","ERJ-2GEJ330X","33R"
"R70","R_0402_33R","TopLayer","RESC1005X04","51,8000","7,3000","90","ERJ-2GEJ330X","33R"
"R69","R_0402_33R","TopLayer","RESC1005X04","54,3000","47,3000","90","ERJ-2GEJ330X","33R"
"R68","R_0402_1k","TopLayer","RESC1005X04","50,0000","7,3000","90","ERJ-2GEJ102X","1k"
"R67","R_0402_1k","TopLayer","RESC1005X04","56,5000","47,3000","270","ERJ-2GEJ102X","1k"
"R66","R_0402_1k","TopLayer","RESC1005X04","48,9000","7,3000","90","ERJ-2GEJ102X","1k"
"R65","R_0402_1k","TopLayer","RESC1005X04","40,6000","7,3000","90","ERJ-2GEJ102X","1k"
"R64","R_0402_1k","TopLayer","RESC1005X04","39,3000","7,3100","270","ERJ-2GEJ102X","1k"
"R63","R_0402_1k","TopLayer","RESC1005X04","42,4000","47,2000","270","ERJ-2GEJ102X","1k"
"R62","R_0402_1k","TopLayer","RESC1005X04","41,4000","47,2000","90","ERJ-2GEJ102X","1k"
"R61","R_0402_1k","TopLayer","RESC1005X04","39,8000","47,2000","270","ERJ-2GEJ102X","1k"
"R60","R_0402_1k","TopLayer","RESC1005X04","38,7000","47,2000","90","ERJ-2GEJ102X","1k"
"R59","R_0402_1k","TopLayer","RESC1005X04","37,7000","47,2000","270","ERJ-2GEJ102X","1k"
"R58","R_0402_10R","TopLayer","RESC1005X04","61,5000","24,2000","0","ERJ-2GEJ100X","10R"
"R57","R_0402_1k","TopLayer","RESC1005X04","76,7000","40,8000","270","ERJ-2GEJ102X","1k"
"R56","R_0402_1k","TopLayer","RESC1005X04","77,7000","41,9000","270","ERJ-2GEJ102X","1k"
"R55","R_0402_1k","TopLayer","RESC1005X04","70,2000","16,8000","180","ERJ-2GEJ102X","1k"
"R54","R_0402_100k_1%","TopLayer","RESC1005X04","63,7000","8,4000","90","ERJ-2RKF1003X","100k"
"R53","R_0402_470R","TopLayer","RESC1005X04","62,7000","8,4000","270","ERJ-2RKF4700X","470R"
"R52","R_0402_100k_1%","TopLayer","RESC1005X04","58,7000","10,2000","0","ERJ-2RKF1003X","100k"
"R51","R_0402_470R","TopLayer","RESC1005X04","63,2000","13,3000","0","ERJ-2RKF4700X","470R"
"R50","R_0402_100k_1%","TopLayer","RESC1005X04","58,7000","14,3000","180","ERJ-2RKF1003X","100k"
"R49","R_0402_100k_1%","TopLayer","RESC1005X04","63,7000","11,8000","270","ERJ-2RKF1003X","100k"
"R48","R_0402_100k_1%","TopLayer","RESC1005X04","42,0000","7,3000","270","ERJ-2RKF1003X","100k"
"R47","R_0402_100k_1%","TopLayer","RESC1005X04","37,9000","7,3000","270","ERJ-2RKF1003X","100k"
"R46","R_0402_100k_1%","TopLayer","RESC1005X04","58,7000","17,7000","180","ERJ-2RKF1003X","100k"
"R45","R_0402_100k_1%","TopLayer","RESC1005X04","63,2000","20,0000","180","ERJ-2RKF1003X","100k"
"R44","R_0402_100k_1%","TopLayer","RESC1005X04","47,8000","7,3000","270","ERJ-2RKF1003X","100k"
"R43","R_0402_100k_1%","TopLayer","RESC1005X04","72,9000","12,7000","90","ERJ-2RKF1003X","100k"
"R42","R_0402_100k_1%","TopLayer","RESC1005X04","72,9000","14,7000","270","ERJ-2RKF1003X","100k"
"R41","R_0402_470R","TopLayer","RESC1005X04","71,9000","14,7000","90","ERJ-2RKF4700X","470R"
"R40","R_0402_100k_1%","TopLayer","RESC1005X04","72,9000","17,8000","90","ERJ-2RKF1003X","100k"
"R39","R_0402_470R","TopLayer","RESC1005X04","71,9000","17,8000","270","ERJ-2RKF4700X","470R"
"R38","R_0402_100k_1%","TopLayer","RESC1005X04","72,9000","19,8000","270","ERJ-2RKF1003X","100k"
"R37","R_0402_100k_1%","TopLayer","RESC1005X04","72,9000","22,6000","90","ERJ-2RKF1003X","100k"
"R36","R_0402_100k_1%","TopLayer","RESC1005X04","68,2000","22,1000","180","ERJ-2RKF1003X","100k"
