Altium Designer Pick and Place Locations
C:\Users\hans\Documents\Altium\shepherd_v2\Project Outputs\Pick Place\Pick Place for shepherd_pcb_v2.5c.csv

========================================================================================================================
File Design Information:

Date:       03/03/25
Time:       18:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer PN","Value"
"U41","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","75,4700","11,5501","0","PI5A4158ZAEX",""
"U40","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","62,4000","22,0001","0","PI5A4158ZAEX",""
"U39","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","54,1000","10,5001","0","PI5A4158ZAEX",""
"U38","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","73,5000","21,3001","0","PI5A4158ZAEX",""
"U37","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","64,5300","8,3501","0","PI5A4158ZAEX",""
"U36","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","73,5000","26,0001","0","PI5A4158ZAEX",""
"U35","Ud_NLAS4684-FC","TopLayer","BGA12C50P4X3_196X146X65","65,7000","38,7000","180","NLAS4684FCT1G",""
"U34","Ud_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","64,6000","13,0001","0","PI5A4158ZAEX",""
"U33","Ud_NLAS4684-FC","TopLayer","BGA12C50P4X3_196X146X65","69,7000","38,7000","180","NLAS4684FCT1G",""
"U32","UA_OPA388-DBV","TopLayer","SOT95P280X145-5N","52,1000","36,6000","270","OPA388IDBVR",""
"U31","Ud_74HC4066-BQ","TopLayer","PQFN50P250X300X100_HS-15N","68,7000","43,9000","0","74HC4066BQ,115",""
"U30","Ud_74HC4066-BQ","TopLayer","PQFN50P250X300X100_HS-15N","73,6500","44,8000","0","74HC4066BQ,115",""
"U29","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","70,6000","7,7001","0","74LVC2T45GT,115",""
"U28","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","60,0000","12,5001","0","74LVC2T45GT,115",""
"U27","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","57,3000","17,4001","0","74LVC2T45GT,115",""
"U26","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","70,6000","10,8001","0","74LVC2T45GT,115",""
"U25","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","57,3000","21,6001","0","74LVC2T45GT,115",""
"U24","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","70,6000","14,3001","0","74LVC2T45GT,115",""
"U23","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","68,8000","20,9001","0","74LVC2T45GT,115",""
"U22","LT3487","TopLayer","PSON50P300X100_HS-11N","29,3000","40,4000","0","LT3487EDD#TRPBF",""
"U21","LP2989-3.3","TopLayer","TSOP65P490X110-8N","36,9000","16,7000","0","LP2989IMM-3.3/NOPB",""
"U20","MP3221","TopLayer","SOT95P280X100-6N","27,8000","31,7000","180","MP3221GJ-Z",""
"U19","LP2989-5.0","TopLayer","TSOP65P490X110-8N","39,3000","21,5000","0","LP2989AIMM-5.0/NOPB",""
"U18","TPL5010","TopLayer","SOT95P280X100-6N","30,7000","8,0000","0","TPL5010DDCR",""
"U17","Ud_CAT24C256-HU","TopLayer","PSON50P300X55_HS-9N","36,1000","12,3000","0","CAT24C256HU4IGT3",""
"U15","HCT2G04","TopLayer","SOT65P210X110-6N","81,3000","28,8000","180","74HC2G04GW,125",""
"U14","TC7WH08FK","TopLayer","TSSOP50P310X80-8N","82,3000","25,8500","0","TC7WH08FK,LJ(CT",""
"U13","Ud_NLAS4684-FC","TopLayer","BGA12C50P4X3_196X146X65","65,7000","35,5000","180","NLAS4684FCT1G",""
"U12","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","68,9000","24,9001","0","74LVC2T45GT,115",""
"U11","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","68,9000","27,9001","0","74LVC2T45GT,115",""
"U10","UA_OPA388-DBV","TopLayer","SOT95P280X145-5N","68,7000","31,7000","0","OPA388IDBVR",""
"U9","UD_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","62,3998","17,9001","0","PI5A4158ZAEX",""
"U8","UD_PI5A4158ZA","TopLayer","SON50P100X80_HS-13N","76,2000","8,1001","0","PI5A4158ZAEX",""
"U7","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","60,0000","8,4001","0","74LVC2T45GT,115",""
"U6","UD_74LVC2T45-GT","TopLayer","SON50P100X50_HS-9N","49,6000","11,4001","0","74LVC2T45GT,115",""
"U5","UP_TPS62913","TopLayer","VQFN50P200X200X100_HS-10N","25,6000","14,4125","180","TPS62913RPUR",""
"U4","ADS8691","TopLayer","TSOP65P640X120-16N","49,2000","29,4000","180","ADS8691IPWR",""
"U3","AD8421B","TopLayer","TSOP65P490X110-8N","58,2000","34,0000","270","AD8421BRMZ",""
"U2","Ua_DAC8562-DSC","TopLayer","PSON50P300X80_HS-11N","45,6000","39,7000","270","DAC8562SDSCR",""
"U1","OPA2388","TopLayer","TSOP65P490X110-8N","51,3000","42,3000","180","OPA2388IDGKR",""
"T2","BSH105","TopLayer","SOT95P230X110-3N","19,7000","15,3000","90","BSH105,215",""
"T1","BSH105","TopLayer","SOT95P230X110-3N","36,8000","8,0500","0","BSH105,215",""
"R134","R_0402_1k","TopLayer","RESC1005X04","30,4000","47,3000","270","ERJ-2GEJ102X","1k"
"R133","R_0402_1k","TopLayer","RESC1005X04","31,4000","47,3000","270","ERJ-2GEJ102X","1k"
"R132","R_0402_100R","TopLayer","RESC1005X04","59,2000","38,5000","180","ERJ-2GEJ101X","100R"
"R131","R_0402_100R","TopLayer","RESC1005X04","57,2000","38,5000","0","ERJ-2GEJ101X","100R"
"R130","R_0402_210R_0.1%","TopLayer","RESC1005X04","55,8000","42,9000","270","RT0402BRD07210RL","210R"
"R129","R_0402_10R","TopLayer","RESC1005X04","58,6000","42,4000","0","ERJ-2GEJ100X","10R"
"R128","R_0402_100k_1%","TopLayer","RESC1005X04","56,8000","42,9000","90","ERJ-2RKF1003X","100k"
"R127","R_0402_1k","TopLayer","RESC1005X04","64,7000","47,3000","270","ERJ-2GEJ102X","1k"
"R126","R_0402_1k","TopLayer","RESC1005X04","63,5000","47,3000","90","ERJ-2GEJ102X","1k"
"R125","R_0402_1k","TopLayer","RESC1005X04","62,5000","47,3000","270","ERJ-2GEJ102X","1k"
"R124","R_0402_1k","TopLayer","RESC1005X04","61,5000","47,3000","90","ERJ-2GEJ102X","1k"
"R123","R_0402_240R","TopLayer","RESC1005X04","51,8000","10,4000","0","ERJ-2GEJ241X","240R"
"R122","R_0402_240R","TopLayer","RESC1005X04","72,2000","10,4000","270","ERJ-2GEJ241X","240R"
"R121","R_0402_240R","TopLayer","RESC1005X04","72,7000","14,5000","0","ERJ-2GEJ241X","240R"
"R120","R_0402_240R","TopLayer","RESC1005X04","61,6000","13,9000","90","ERJ-2GEJ241X","240R"
"R119","R_0402_240R","TopLayer","RESC1005X04","61,6000","11,9000","270","ERJ-2GEJ241X","240R"
"R118","R_0402_240R","TopLayer","RESC1005X04","59,0000","23,1000","90","ERJ-2GEJ241X","240R"
"R117","R_0402_240R","TopLayer","RESC1005X04","70,4000","20,3000","270","ERJ-2GEJ241X","240R"
"R116","R_0402_240R","TopLayer","RESC1005X04","70,4000","22,3000","90","ERJ-2GEJ241X","240R"
"R115","R_0402_240R","TopLayer","RESC1005X04","70,4000","24,4000","270","ERJ-2GEJ241X","240R"
"R114","R_0402_240R","TopLayer","RESC1005X04","70,4000","27,5000","270","ERJ-2GEJ241X","240R"
"R113","R_0402_1k","TopLayer","RESC1005X04","78,5000","26,9000","0","ERJ-2GEJ102X","1k"
"R112","R_0402_1k","TopLayer","RESC1005X04","78,5000","28,0000","0","ERJ-2GEJ102X","1k"
"R111","R_0402_100k_1%","TopLayer","RESC1005X04","32,6000","41,9000","180","ERJ-2RKF1003X","100k"
"R110","R_0402_240k_1%","TopLayer","RESC1005X04","32,6000","40,9000","0","ERJ-2RKF2403X","240k"
"R109","R_0402_470R","TopLayer","RESC1005X04","34,4000","40,5000","270","ERJ-2RKF4700X","470R"
"R108","R_0402_240k_1%","TopLayer","RESC1005X04","34,4000","38,5000","270","ERJ-2RKF2403X","240k"
"R107","R_0402_1k","TopLayer","RESC1005X04","29,4000","47,3000","90","ERJ-2GEJ102X","1k"
"R106","R_0402_470R","TopLayer","RESC1005X04","43,4000","14,7000","180","ERJ-2RKF4700X","470R"
"R105","R_0402_100k_1%","TopLayer","RESC1005X04","30,4000","32,1000","90","ERJ-2RKF1003X","100k"
"R104","R_0402_680k_1%","TopLayer","RESC1005X04","31,4000","32,1000","270","ERJ-2RKF6803X","680k"
"R103","R_0402_10k","TopLayer","RESC1005X04","34,3000","47,3000","90","ERJ-2GEJ103X","10k"
"R102","R_0402_10k","TopLayer","RESC1005X04","19,1000","13,0000","180","ERJ-2GEJ103X","10k"
"R101","R_0402_100k_1%","TopLayer","RESC1005X04","27,1000","7,4000","90","ERJ-2RKF1003X","100k"
"R100","R_0402_470R","TopLayer","RESC1005X04","19,1000","17,6000","0","ERJ-2RKF4700X","470R"
"R99","R_0402_24k","TopLayer","RESC1005X04","28,2000","7,4000","90","ERJ-2GEJ243X","24k"
"R98","R_0402_100k_1%","TopLayer","RESC1005X04","34,6000","8,4000","90","ERJ-2RKF1003X","100k"
"R97","R_0402_10k","TopLayer","RESC1005X04","19,1000","11,9000","0","ERJ-2GEJ103X","10k"
"R96","R_0402_10k","TopLayer","RESC1005X04","33,1000","13,6000","0","ERJ-2GEJ103X","10k"
"R95","R_0402_10k","TopLayer","RESC1005X04","33,1000","12,6000","0","ERJ-2GEJ103X","10k"
"R94","R_0402_1k","TopLayer","RESC1005X04","47,3000","47,3000","90","ERJ-2GEJ102X","1k"
"R93","R_0402_1k","TopLayer","RESC1005X04","27,2000","47,3000","90","ERJ-2GEJ102X","1k"
"R92","R_0402_1k","TopLayer","RESC1005X04","48,4000","47,3000","90","ERJ-2GEJ102X","1k"
"R91","R_0402_1k","TopLayer","RESC1005X04","28,2000","47,3000","90","ERJ-2GEJ102X","1k"
"R90","R_0402_10k","TopLayer","RESC1005X04","33,1000","11,6000","180","ERJ-2GEJ103X","10k"
